SrNo,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
100855,Area-6,,,,,,,0,0,0,SubCentre,Delhi,South,Saket,\N
100895,Area - C,,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
100939,Area-C,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Shahdara,\N
100959,Area-C,,,,,,,0,0,0,SubCentre,Delhi,North-East,Yamuna Vihar,\N
100982,Area-4,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
101100,DGD Kanti Nagar,,,,,,,0,0,0,Dispensaries,Delhi,Shahdara,Shahdara,\N
101126,Area-17,,,,,,,0,0,0,SubCentre,Delhi,North West,Kanjhawla,\N
101184,Area-3,,,,,,,0,0,0,SubCentre,Delhi,West,Rajouri Garden,\N
101285,Area-3,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
101470,Area-C,,,,,,,0,0,0,SubCentre,Delhi,South East,Sarita Vihar,\N
101545,Area-1,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
101546,Area-4,,,,,,,0,0,0,SubCentre,Delhi,South,Saket,\N
101612,Area-10,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
101613,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North West,Rohini,\N
101645,Area-C,,,,,,,0,0,0,SubCentre,Delhi,North-East,Seelam Pur,\N
101767,Area-4,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Chanakya Puri,\N
101807,DGD Garhi,No. 97-108,Slum Tenament Garhi,East of Kailash,EAST OF KAILASH,110065,26413340,28.55807532,77.25358578,0,Dispensaries,Delhi,South East,Defence Colony,\N
101809,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North,Alipur,\N
101849,DGD Khajuri Khas,,"Village Khajuri Khas,","Near Sarvodya Vidyalya,",Khajuri Khas,110094,22966493,28.7107,77.2582,0,Dispensaries,Delhi,North-East,Karawal Nagar,\N
101980,Area-4,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
101981,Area-12,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
102019,Area-C,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Delhi Cantonment,\N
102076,Area-15,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
102118,Area-7,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
102131,SPUHC Chandu Nagar,Hno.B-200,Gali No.-2,,Chandu Nagar,110094,,28.7095,77.2639,0,Dispensaries,Delhi,North-East,Karawal Nagar,\N
102219,Area-3,,,,,,,0,0,0,SubCentre,Delhi,North-East,Karawal Nagar,\N
102285,Area-1 (070606801),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
102286,Area-C (070601101),,,,,,,0,0,0,SubCentre,Delhi,Central,Karol Bagh,\N
102292,Area-2,,,,,,,0,0,0,SubCentre,Delhi,South-West,Kapashera,\N
102346,Area-8,,,,,,,0,0,0,SubCentre,Delhi,North-East,Yamuna Vihar,\N
102421,MCW Dhaka Colony,"G-67,",MCD Colony,,"Dhakka, Kingsway Camp.",110009,27606808,28.7075,77.2035,0,M&CW Center,Delhi,North,Model Town,\N
102529,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
102613,Area-3,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Chanakya Puri,\N
102844,DGD Vikaspuri,KG-1,"Block,","Vikaspuri,",vikas puri,110018,25599437,28.63,77.07,0,Dispensaries,Delhi,West,Patel Nagar,\N
103107,Area-1,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
103280,Area-6,,,,,,,0,0,0,SubCentre,Delhi,South,Saket,\N
103348,Area-1,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Vasant Vihar,\N
103354,Area-2,,,,,,,0,0,0,SubCentre,Delhi,West,Rajouri Garden,\N
103420,DGD Bakkarwala,H Block,,Resttlement Colony,Bakkarwala,110041,1128344111,28.66,77.01,0,Dispensaries,Delhi,West,Punjabi Bagh,\N
103431,Area-6,,,,,,,0,0,0,SubCentre,Delhi,North West,Rohini,\N
103438,Area-C,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
103459,Area-1 (070602501),,,,,,,0,0,0,SubCentre,Delhi,Central,Karol Bagh,\N
103468,SPUHC Sudharshan park,b-311,sudarshan park,,,110015,,28.66,77.13,0,Dispensaries,Delhi,West,Patel Nagar,\N
103476,Area-4,,,,,,,0,0,0,SubCentre,Delhi,West,Patel Nagar,\N
103481,Area-9,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
103541,Area-C,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
103628,Area-4,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
103642,Area-7,,,,,,,0,0,0,SubCentre,Delhi,South,Mehrauli,\N
103744,Area-2,,,,,,,0,0,0,SubCentre,Delhi,South East,Kalkaji,\N
103838,Area-3,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Shahdara,\N
103954,Area-3,,,,,,,0,0,0,SubCentre,Delhi,East,Preet Vihar,\N
103960,Area-11,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
